NSC,Log10HiConc,ConcUnit,Flag,Log10IC50,NumExp,StdDev                           
6741,-3.7,M,=,-4.21,2,.3                                                        
6742,-3.7,M,=,-4.49,1,0                                                         
6743,-3.7,M,=,-4.5,2,.06                                                        
6745,-2.7,M,>,-2.67,2,0                                                         
6746,-3.7,M,>,-3.7,2,0                                                          
6836,-3.7,M,>,-3.7,2,0                                                          
6846,-3.7,M,=,-4.01,2,.04                                                       
6957,-3.7,M,=,-4.86,2,.24                                                       
7212,-4.1,M,=,-4.37,2,0                                                         
7214,-3.7,M,=,-3.97,1,0                                                         
7222,-3.5,M,=,-5.09,2,.29                                                       
7223,-3.7,M,=,-4.56,4,.09                                                       
7226,-3.7,M,>,-3.7,2,0                                                          
7231,-4,M,>,-4,4,0                                                              
7296,-3,M,>,-3,2,0                                                              
7308,-3.1,M,=,-3.36,2,0                                                         
7333,-4.3,M,>,-4.39,2,.06                                                       
7340,-3.7,M,>,-3.7,1,0                                                          
7346,-3.7,M,=,-5.05,2,.05                                                       
7348,-3.7,M,>,-3.7,2,0                                                          
7364,-5.7,M,=,-7.1,2,.1                                                         
7364,-3.7,M,<,-7.2,1,0                                                          
7387,-3.7,M,=,-4.6,6,.07                                                        
7387,-3.2,M,=,-4.45,2,.08                                                       
7519,-3.7,M,>,-3.7,1,0                                                          
7520,-5.6,M,>,-5.61,2,0                                                         
7521,-7.7,M,=,-8.56,2,.04                                                       
7521,-5.7,M,=,-8.33,3,.19                                                       
7521,-3.7,M,<,-7.2,2,0                                                          
7525,-7.7,M,=,-8.53,2,.02                                                       
7525,-5.7,M,=,-8.84,2,.22                                                       
7525,-3.7,M,<,-7.2,1,0                                                          
7526,-3.7,M,>,-3.7,1,0                                                          
7528,-3.7,M,>,-3.7,2,0                                                          
7571,-3.7,M,=,-5.66,1,0                                                         
7576,-3.7,M,=,-5.47,4,.07                                                       
7592,-3.5,M,>,-3.51,2,0                                                         
7598,-3.7,M,>,-3.7,2,0                                                          
7636,-2.7,M,>,-2.73,2,0                                                         
7669,2.9,u,=,1.99,2,.01                                                         
7711,-3.7,M,>,-3.7,1,0                                                          
7760,-3.7,M,>,-3.7,2,0                                                          
7778,-3.7,M,>,-3.7,2,0                                                          
7779,-3.7,M,>,-3.93,4,.15                                                       
7783,-3.7,M,=,-3.99,2,0                                                         
7797,-3.7,M,=,-4.17,2,.46                                                       
7807,-4,M,>,-4,4,0                                                              
7809,-4.3,M,>,-4.3,4,0                                                          
7816,-3.5,M,>,-3.51,2,0                                                         
7816,-3.3,M,>,-3.3,4,0                                                          
7819,-3.5,M,=,-4.01,4,.27                                                       
7820,-3.8,M,>,-3.82,2,0                                                         
7821,-3.7,M,=,-4.79,2,.01                                                       
7830,-4.3,M,>,-4.46,4,.11                                                       
7832,-4,M,>,-4,4,0                                                              
7887,-3.7,M,>,-3.7,2,0                                                          
7914,-3.7,M,>,-3.7,2,0                                                          
7967,-3.7,M,>,-3.7,2,0                                                          
8120,-4.8,M,=,-6.72,2,0                                                         
8120,-2.8,M,<,-6.29,2,0                                                         
8125,-3.1,M,>,-3.1,2,0                                                          
8128,-3,M,>,-3.02,2,0                                                           
8145,-2.8,M,>,-2.77,2,0                                                         
8151,-3.7,M,>,-3.7,2,0                                                          
8156,-3.7,M,>,-3.7,2,0                                                          
8186,-3.7,M,=,-5.27,2,.02                                                       
8337,-3.7,M,=,-4.76,2,.08                                                       
8395,-3.7,M,>,-3.7,2,0                                                          
8512,-3.7,M,>,-3.7,3,0                                                          
8517,-3.7,M,>,-3.7,2,0                                                          
8538,-3.7,M,=,-4.94,1,0                                                         
8540,-3.7,M,>,-3.7,2,0                                                          
8541,-3.7,M,>,-3.7,2,0                                                          
8625,-3.7,M,=,-3.92,4,.09                                                       
8646,-3.7,M,>,-3.7,1,0                                                          
8662,-3.7,M,=,-5.02,2,.07                                                       
8667,-3.7,M,=,-5.99,2,.05                                                       
8668,-5,M,>,-5,1,0                                                              
8668,-3.7,M,=,-5.02,2,.05                                                       
8670,-3.7,M,=,-4.92,2,.06                                                       
8722,-3.4,M,>,-3.43,2,0                                                         
8774,-2.8,M,=,-2.85,2,.02                                                       
8929,-3.7,M,>,-3.7,2,0                                                          
8938,-3.5,M,>,-3.51,2,0                                                         
8944,-4.4,M,>,-4.43,2,0                                                         
8957,-3.7,M,>,-3.7,2,0                                                          
8960,-3.7,M,>,-3.7,2,0                                                          
9037,-3.7,M,=,-3.94,2,.03                                                       
9076,-3.7,M,>,-3.7,1,0                                                          
9146,-3.7,M,=,-5.11,2,.16                                                       
9150,-3.5,M,>,-3.52,2,0                                                         
9152,-3.7,M,=,-5.22,2,.24                                                       
9168,-3.7,M,>,-3.7,7,0                                                          
9169,-3.6,M,=,-4.02,2,.24                                                       
9291,-4.2,M,=,-5.08,3,.68                                                       
9326,-3.7,M,>,-3.7,3,0                                                          
9346,-3.7,M,>,-3.7,2,0                                                          
9408,-3.1,M,=,-3.72,2,.09                                                       
9432,-4.1,M,>,-4.08,1,0                                                         
9498,-3.8,M,>,-3.83,2,0                                                         
9600,-3.3,M,=,-3.64,2,.08                                                       
9617,-4.3,M,>,-4.3,2,0                                                          
9617,2,u,=,1.75,4,.09                                                           
9619,-3.9,M,>,-4.1,6,.15                                                        
9649,-4.6,M,=,-4.83,2,.06                                                       
9659,-3.7,M,>,-3.7,2,0                                                          
9665,-3.7,M,=,-4.07,2,.16                                                       
9683,-4.5,M,>,-4.51,2,0                                                         
9691,-4.1,M,=,-5.02,2,.1                                                        
9703,-3.7,M,>,-3.7,2,0                                                          
9704,-3.7,M,=,-4.04,2,.03                                                       
9706,-4,M,=,-5.98,2,.06                                                         
9860,-4,M,>,-4,4,0                                                              
9896,-3.9,M,=,-4.08,2,.04                                                       
9902,2.2,u,=,.96,2,.02                                                          
9989,-3.7,M,>,-3.7,2,0                                                          
10010,-4.5,M,=,-6.05,1,0                                                        
10014,-3.7,M,>,-3.7,2,0                                                         
10021,-3.7,M,=,-4.46,2,.01                                                      
10064,-3.3,M,>,-3.3,2,0                                                         
10077,-3.7,M,>,-3.7,2,0                                                         
10087,-3.7,M,>,-3.7,2,0                                                         
10088,-3.7,M,>,-3.7,1,0                                                         
10115,-3.5,M,=,-5.74,2,.02                                                      
10121,-2.8,M,=,-2.85,2,.02                                                      
10138,-3.7,M,>,-3.7,2,0                                                         
10176,-3.7,M,=,-4.57,2,.15                                                      
10199,-3.7,M,>,-3.7,2,0                                                         
10221,-2.7,M,>,-2.69,2,0                                                        
10388,-3.8,M,>,-3.84,2,0                                                        
10427,-3.9,M,>,-3.86,2,0                                                        
10429,-3.7,M,=,-5.28,2,.03                                                      
10441,-3.7,M,=,-3.95,4,.01                                                      
10465,-3.7,M,>,-3.7,4,0                                                         
10474,-3.7,M,<,-7.2,2,0                                                         
10474,-3.5,M,<,-7,2,0                                                           
10476,-4,M,=,-5.04,2,.31                                                        
10479,-3.7,M,>,-3.7,2,0                                                         
10539,-3.7,M,=,-4.48,3,.04                                                      
10549,-3.7,M,>,-3.7,1,0                                                         
10687,-3.7,M,=,-3.84,1,0                                                        
10753,-3.1,M,>,-3.1,2,0                                                         
10789,-3.7,M,=,-4.1,2,.06                                                       
10837,-3.7,M,=,-4.73,1,0                                                        
10848,-3.7,M,>,-3.7,2,0                                                         
10894,-4.7,M,>,-4.66,1,0                                                        
11020,-3,M,>,-2.99,2,0                                                          
11050,-6,M,>,-6,1,0                                                             
11051,-4.6,M,=,-5.03,3,.27                                                      
11152,-4.6,M,>,-4.61,2,0                                                        
11153,-4.3,M,>,-4.32,2,0                                                        
11208,-3.7,M,>,-3.7,2,0                                                         
11225,-3.9,M,=,-6.17,1,0                                                        
11239,-3.7,M,=,-4.58,4,.06                                                      
11242,-3.7,M,>,-3.7,2,0                                                         
11242,-3.5,M,>,-3.5,2,0                                                         
11244,-3.7,M,>,-3.7,2,0                                                         
11247,-3.7,M,>,-3.88,6,.19                                                      
11337,-5.3,M,>,-5.29,2,0                                                        
11365,-3.7,M,=,-4.92,2,.01                                                      
11547,-3.7,M,=,-4.86,2,.03                                                      
11839,-3.7,M,>,-3.7,2,0                                                         
11840,-3.7,M,=,-3.92,2,.03                                                      
11855,-3.7,M,=,-4,2,.03                                                         
11856,-3.7,M,=,-4.43,1,0                                                        
11889,-2.8,M,=,-3.21,2,.02                                                      
11892,-3.6,M,>,-3.59,2,0                                                        
11907,-3.7,M,=,-4.82,3,.05                                                      
11926,-3.7,M,=,-4.72,2,.12                                                      
11980,-3.7,M,=,-5,1,0                                                           
11983,-3.7,M,=,-3.89,1,0                                                        
11993,-4.4,M,>,-4.4,2,0                                                         
12022,-3.9,M,>,-3.86,2,0                                                        
12045,-3.7,M,>,-3.7,1,0                                                         
12050,-4,M,>,-3.99,2,0                                                          
12052,-3.8,M,>,-3.82,2,0                                                        
12054,-4.3,M,>,-4.29,2,0                                                        
12097,-3.7,M,=,-4.85,3,.11                                                      
12131,-3,M,>,-3.04,1,0                                                          
12148,-3.7,M,>,-3.7,1,0                                                         
12217,-4.4,M,>,-4.4,2,0                                                         
12253,-3,M,=,-4.14,2,.16                                                        
12265,-3.5,M,>,-3.53,2,0                                                        
12271,-4.2,M,=,-4.69,2,.35                                                      
12493,-3.7,M,>,-3.7,2,0                                                         
12497,-4.8,M,>,-4.83,2,0                                                        
12503,-4,M,>,-4.05,2,0                                                          
12509,-4.2,M,>,-4.22,2,0                                                        
12514,-5,M,>,-5.01,2,0                                                          
12529,-3.7,M,=,-3.78,1,0                                                        
12532,-4,M,=,-4.83,1,0                                                          
12650,-3.7,M,=,-3.86,2,.03                                                      
12764,-4.5,M,>,-4.54,2,0                                                        
12930,-4.5,M,>,-4.5,2,.04                                                       
12944,-3.1,M,>,-3.12,2,0                                                        
12947,-2.9,M,=,-4.27,2,.07                                                      
12963,2.4,u,=,2.04,1,0                                                          
13009,-3.7,M,>,-3.7,1,0                                                         
13034,-3.7,M,>,-3.88,2,.25                                                      
13107,-5.7,M,=,-6.94,2,.03                                                      
13107,-3.7,M,=,-7.1,1,0                                                         
13121,-3.7,M,>,-3.7,2,0                                                         
13203,-3.7,M,>,-3.7,2,0                                                         
13237,-3.7,M,>,-3.7,3,0                                                         
13252,-4.9,M,>,-4.85,2,0                                                        
13259,-3.7,M,=,-4.19,3,.22                                                      
13299,-3.7,M,=,-4.41,2,.03                                                      
